"Computing Task","Global","Local","Total Time","Average Time","Instance Count","SIMD Width","SVM Usage Type","Spill Memory Size","Host-to-Device","Device-to-Host","Active","Stalled","Idle","Peak EU Threads Occupancy","EU Threads Occupancy","Computing Threads Started","L3 Bandwidth, GB/sec","Read","Write","Read","Write","Busy","Bottleneck","GPU Barriers","GPU Atomics"
"q3_aggregate","6019840","256","0.0097537","0.00139339","7","32","","0","0","0","0.461673","0.435273","0.103054","1","0.876967","489544","30.6072","47.6358","14.0233","30.4103","0.164434","0.00177453","6.40778e-07","8784423","0"
"clEnqueueReadBuffer","","","5.13764e-05","7.33949e-06","7","","","","0","1316840","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"[Unknown]","","","0","0","0","","","","0","0","0.062384","0.164374","0.773242","0","0.19991","168876","0.00171632","0.00270297","0.000792911","0.00354651","0.00172962","0.124618","0.00114049","3067137","0"
