"Computing Task","Global","Local","Total Time","Average Time","Instance Count","SIMD Width","SVM Usage Type","Spill Memory Size","Host-to-Device","Device-to-Host","Active","Stalled","Idle","Peak EU Threads Occupancy","EU Threads Occupancy","Computing Threads Started","L3 Bandwidth, GB/sec","Read","Write","Read","Write","Busy","Bottleneck","GPU Barriers","GPU Atomics"
"q6_kernel_reduce","29999872","256","0.0841753","0.00701461","12","32","","0","0","0","0.50333","0.484913","0.0117573","1","0.967218","5310412","51.3812","60.0308","17.6586","50.9821","0.153685","0.000140599","0.000128486","95541037","0"
"clEnqueueReadBuffer","","","0.000741675","6.18062e-05","12","","","","0","11249952","0.308335","0.285749","0.405916","0","0.578894","18854","20.7115","24.451","7.16554","20.5503","0.140051","0","0","343007","0"
"[Unknown]","","","0","0","0","","","","0","0","0.141295","0.332922","0.525783","0","0.358214","295710","0.00588303","0.00692668","0.00203258","0.0466954","0.0325844","0.282038","0.0061171","5365524","0"
