"Computing Task","Global","Local","Total Time","Average Time","Instance Count","SIMD Width","SVM Usage Type","Spill Memory Size","Host-to-Device","Device-to-Host","Active","Stalled","Idle","Peak EU Threads Occupancy","EU Threads Occupancy","Computing Threads Started","L3 Bandwidth, GB/sec","Read","Write","Read","Write","Busy","Bottleneck","GPU Barriers","GPU Atomics"
"q3_aggregate","6019840","256","0.00830182","0.00118597","7","32","","0","0","0","0.544925","0.445892","0.00918283","1","0.968154","443805","30.5544","50.7384","14.9392","30.1015","0.134687","1.41782e-07","0","7963600","0"
"clEnqueueReadBuffer","","","4.21205e-05","6.01721e-06","7","","","","0","1316840","0.545538","0.434514","0.0199476","0","0.954743","127676","1734.29","2902.36","851.74","1707.61","10.1712","0","0","2311854","0"
"[Unknown]","","","0","","","","","","","","0.125776","0.35199","0.522235","0","0.358603","86939","0.000843668","0.00141221","0.000414425","0.0482892","0.0340552","0.374185","0.0164292","1576106","0"
