target_selectivity,cutoff_date,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB,total_data_MB,bandwidth_GB_per_sec,validation_cpu_result,validation_gpu_result,abs_err_cents,rel_err
0.002528196,1998-10-26,0.002296487,1.370052000,1.382968000,1.393125000,1.956800000,0.573832000,29.325020442,0.014300000,0.003300000,0.229648704,99.770351296,0.229648704,0.221184000,96.314064000,69.779043333,504247422.528104603,504247442.689999998,99,0.000000040
0.005056391,1998-10-06,0.005481899,1.416354000,1.432239000,1.448802000,2.012600000,0.580361000,28.836380801,0.013800000,0.002700000,0.548189930,99.451810070,0.548189930,0.527984000,96.314064000,67.378547854,1200546468.131229877,1200546515.609999895,243,0.000000040
0.007584587,1992-01-21,0.007630869,1.360208000,1.397552000,1.413177000,1.956200000,0.558648000,28.557816174,0.021200000,0.003300000,0.763086895,99.236913105,0.763086895,0.734960000,96.314064000,69.050871810,1669175408.919862032,1669175475.329999924,323,0.000000040
0.010112783,1998-09-16,0.010114577,1.395677000,1.430885000,1.486718000,1.997300000,0.566415000,28.359034697,0.022400000,0.003300000,1.011457683,98.988542317,1.011457683,0.974176000,96.314064000,67.442305985,2212830037.311341763,2212830125.880000114,482,0.000000040
0.012640978,1992-02-05,0.012459406,1.409062000,1.453281000,1.481145000,2.030500000,0.577219000,28.427431667,0.036900000,0.003200000,1.245940572,98.754059428,1.245940572,1.200016000,96.314064000,66.402976437,2725669164.566994667,2725669271.769999981,554,0.000000039
0.015169174,1992-02-15,0.015244793,1.494583000,1.507395000,1.530729000,2.060100000,0.552705000,26.829037425,0.014900000,0.002900000,1.524479333,98.475520667,1.524479333,1.468288000,96.314064000,64.019174802,3335237905.996953011,3335238037.570000172,718,0.000000039
0.017697370,1992-02-25,0.017603078,1.517187000,1.542083000,1.595729000,2.084400000,0.542317000,26.017894838,0.016800000,0.003100000,1.760307820,98.239692180,1.760307820,1.695424000,96.314064000,62.579111500,3847611011.125236511,3847611161.840000153,829,0.000000039
0.020225565,1992-03-11,0.020562231,1.550104000,1.580677000,1.602812000,2.127700000,0.547023000,25.709592518,0.020000000,0.003400000,2.056223066,97.943776934,2.056223066,1.980432000,96.314064000,61.051172377,4502746778.423280716,4502746954.930000305,1007,0.000000039
0.022753761,1992-03-27,0.022896594,1.584531000,1.605520000,1.626875000,2.156300000,0.550780000,25.542827992,0.016700000,0.003100000,2.289659379,97.710340621,2.289659379,2.205264000,96.314064000,60.106497583,5013115710.410819054,5013115908.909999847,1123,0.000000040
0.025281957,1995-01-18,0.025281957,1.613281000,1.644166000,1.665885000,2.183000000,0.538834000,24.683188273,0.014800000,0.002800000,2.528195675,97.471804325,2.528195675,2.435008000,96.314064000,58.693698811,5531023521.214046478,5531023738.430000305,1234,0.000000039
