target_selectivity,window_days,start_day,end_day,achieved_selectivity,kernel_ms_min,kernel_ms_median, kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage, gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB, total_data_MB,bandwidth_GB_per_sec,cpu_result,gpu_result,abs_error
0.000100000,1,8766,8767,0.000138305,1.653645000,1.723020000,1.767031000,2.305700000,0.582680000,25.271284209,0.020100000,0.000000000,0.013830533,99.986169467,0.013830533,0.013280000,96.019440000,55.836254948,1046902.833862386,1046898.860000000,3.973862386
0.001000000,8,8766,8774,0.001125605,1.893750000,1.895989000,1.899375000,2.395600000,0.499611000,20.855359826,0.014200000,0.000000000,0.112560540,99.887439460,0.112560540,0.108080000,96.019440000,50.742374560,8544633.498626586,8544601.480000000,32.018626586
0.010000000,71,8766,8837,0.010063129,1.957239000,1.959739000,1.965052000,2.473700000,0.513961000,20.777014189,0.014500000,0.000000000,1.006312888,98.993687112,1.006312888,0.966256000,96.019440000,49.091733134,76052442.191821486,76052159.659999996,282.531821489
0.050000000,351,8766,9117,0.050141013,2.130625000,2.134479000,2.138802000,2.618500000,0.484021000,18.484666794,0.014900000,0.000000000,5.014101311,94.985898689,5.014101311,4.814512000,96.019440000,45.072818238,378952163.850704253,378950750.230000019,1413.620704234
0.100000000,699,8766,9465,0.100050740,2.288854000,2.292916000,2.296458000,2.817500000,0.524584000,18.618775510,0.014900000,0.000000000,10.005073973,89.994926027,10.005073973,9.606816000,96.019440000,41.958355212,755728940.881988287,755726118.210000038,2822.671988249
0.250000000,1796,8766,10562,0.248209238,2.467500000,2.473229000,2.478385000,2.987300000,0.514071000,17.208549526,0.014800000,0.000000000,24.820923763,75.179076237,24.820923763,23.832912000,96.019440000,38.899343328,1875847179.428263664,1875840177.339999914,7002.088263750
0.500000000,1796,8766,10562,0.248209238,2.464322000,2.469895000,2.471145000,2.956700000,0.486805000,16.464470525,0.014200000,0.000000000,24.820923763,75.179076237,24.820923763,23.832912000,96.019440000,38.951851799,1875847179.428263664,1875840177.339999914,7002.088263750
1.000000000,1796,8766,10562,0.248209238,2.467291000,2.472031000,2.478541000,2.982700000,0.510669000,17.121031280,0.016900000,0.000100000,24.820923763,75.179076237,24.820923763,23.832912000,96.019440000,38.918194796,1875847179.428263664,1875840177.339999914,7002.088263750
