target_selectivity,window_days,start_day,end_day,achieved_selectivity,kernel_ms_min,kernel_ms_median, kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage, gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB, total_data_MB,bandwidth_GB_per_sec,cpu_result,gpu_result,abs_error_cents,rel_err
0.000100000,1,8766,8767,0.000143834,7.695520000,7.787864000,7.896562000,8.404000000,0.616136000,7.331461209,0.066600000,0.000000000,0.014383432,99.985616568,0.014383432,0.069040000,479.996720000,61.754316203,5456126.052629739,5456126.660000000,0,0.000000111
0.001000000,8,8766,8774,0.001140174,7.449270000,7.805833000,7.915781000,8.383400000,0.577567000,6.889412410,0.067200000,0.000000000,0.114017446,99.885982554,0.114017446,0.547280000,479.996720000,61.612157985,43168101.720320739,43168106.159999996,0,0.000000103
0.010000000,71,8766,8837,0.010115569,7.676093000,7.858854000,8.098125000,8.454700000,0.595846000,7.047512035,0.062300000,0.000000000,1.011556912,98.988443088,1.011556912,4.855440000,479.996720000,61.196481828,382569544.217583477,382569585.160000026,0,0.000000107
0.050000000,351,8766,9117,0.050121609,8.217031000,8.429635000,8.693072000,9.051100000,0.621465000,6.866182011,0.063500000,0.000000000,5.012160916,94.987839084,5.012160916,24.058208000,479.996720000,57.052792440,1895551926.148908138,1895552124.710000038,0,0.000000105
0.100000000,701,8766,9467,0.100071550,8.332187000,8.524010000,8.968906000,9.185200000,0.661190000,7.198427906,0.078700000,0.000000000,10.007155049,89.992844951,10.007155049,48.034016000,479.996720000,56.421122922,3782725807.866172791,3782726205.829999924,0,0.000000105
0.250000000,1796,8766,10562,0.247929961,9.279062000,9.549895000,9.692968000,10.142200000,0.592305000,5.840005127,0.063700000,0.000100000,24.792996085,75.207003915,24.792996085,119.005568000,479.996720000,50.360157468,9367851648.191865921,9367852647.049999237,0,0.000000107
