target_selectivity,window_days,start_day,end_day,achieved_selectivity,kernel_ms_min,kernel_ms_median, kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage, gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB, total_data_MB,bandwidth_GB_per_sec,cpu_result,gpu_result,abs_error_cents,rel_err
0.000100000,1,8766,8767,0.000144117,13.000572000,13.307760000,13.598072000,14.284200000,0.976440000,6.835804595,0.159800000,0.000000000,0.014411684,99.985588316,0.014411684,0.138320000,959.776832000,72.262454388,10793574.245291250,10793575.730000000,0,0.000000138
0.001000000,8,8766,8774,0.001139532,13.112447000,13.416718000,13.698645000,14.322100000,0.905382000,6.321572954,0.138400000,0.000000000,0.113953157,99.886046843,0.113953157,1.093696000,959.776832000,71.675606508,85849948.611580074,85849956.599999994,0,0.000000093
0.010000000,71,8766,8837,0.010121119,14.168385000,14.621197000,15.131822000,15.778200000,1.157003000,7.332921373,0.138700000,0.000000000,1.012111949,98.987888051,1.012111949,9.714016000,959.776832000,65.771044601,764255541.776435375,764255623.720000029,0,0.000000107
0.050000000,351,8766,9117,0.050081859,14.924062000,15.111406000,16.283020000,16.341700000,1.230294000,7.528555781,0.138800000,0.000000000,5.008185903,94.991814097,5.008185903,48.067408000,959.776832000,63.637453722,3786738305.674726486,3786738704.449999809,0,0.000000105
0.100000000,701,8766,9467,0.100094402,16.152812000,16.548177000,16.864010000,17.415800000,0.867623000,4.981815363,0.138700000,0.000000000,10.009440195,89.990559805,10.009440195,96.068288000,959.776832000,58.112225897,7563894390.536820412,7563895202.670000076,0,0.000000107
0.250000000,1796,8766,10562,0.247882708,16.889791000,17.474947000,17.604791000,18.371300000,0.896353000,4.879094022,0.138700000,0.000000000,24.788270780,75.211729220,24.788270780,237.912080000,959.776832000,55.030289934,18728755477.142116547,18728757486.979999542,0,0.000000107
0.500000000,1796,8766,10562,0.247882708,17.189427000,17.800416000,17.945000000,18.753600000,0.953184000,5.082672127,0.145300000,0.000000000,24.788270780,75.211729220,24.788270780,237.912080000,959.776832000,54.024096965,18728755477.142116547,18728757486.979999542,0,0.000000107
1.000000000,1796,8766,10562,0.247882708,17.212031000,17.487656000,17.898437000,18.427900000,0.940244000,5.102285122,0.139200000,0.000000000,24.788270780,75.211729220,24.788270780,237.912080000,959.776832000,54.990297156,18728755477.142116547,18728757486.979999542,0,0.000000107
