target_selectivity,window_days,start_day,end_day,achieved_selectivity,kernel_ms_min,kernel_ms_median, kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage, gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB, total_data_MB,bandwidth_GB_per_sec,cpu_result,gpu_result,abs_error_cents,rel_err
0.000100000,1,8766,8767,0.000138305,1.894947000,1.898489000,1.901354000,2.394200000,0.495711000,20.704661265,0.014400000,0.000000000,0.013830533,99.986169467,0.013830533,0.013280000,96.019440000,50.675555139,1046902.833862386,1046902.930000000,0,0.000000092
0.001000000,8,8766,8774,0.001125605,1.908333000,1.911197000,1.916458000,2.419100000,0.507903000,20.995535530,0.013500000,0.000100000,0.112560540,99.887439460,0.112560540,0.108080000,96.019440000,50.338601411,8544633.498626586,8544634.830000000,0,0.000000156
0.010000000,71,8766,8837,0.010063129,1.969010000,1.972968000,1.976093000,2.478200000,0.505232000,20.387055121,0.014700000,0.000000000,1.006312888,98.993687112,1.006312888,0.966256000,96.019440000,48.762566854,76052442.191821486,76052450.180000007,0,0.000000105
0.050000000,351,8766,9117,0.050141013,2.055052000,2.149947000,2.154322000,2.646400000,0.496453000,18.759560157,0.014300000,0.000100000,5.014101311,94.985898689,5.014101311,4.814512000,96.019440000,44.748537522,378952163.850704253,378952203.569999993,0,0.000000105
0.100000000,699,8766,9465,0.100050740,2.294375000,2.306354000,2.308906000,2.814000000,0.507646000,18.040014215,0.016700000,0.000000000,10.005073973,89.994926027,10.005073973,9.606816000,96.019440000,41.713884339,755728940.881988287,755729021.909999967,0,0.000000107
0.250000000,1796,8766,10562,0.248209238,2.210833000,2.484895000,2.487083000,2.956100000,0.471205000,15.940089983,0.013900000,0.000100000,24.820923763,75.179076237,24.820923763,23.832912000,96.019440000,38.716720022,1875847179.428263664,1875847378.210000038,0,0.000000106
