target_selectivity,window_days,start_day,end_day,achieved_selectivity,kernel_ms_min,kernel_ms_median, kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage, gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB, total_data_MB,bandwidth_GB_per_sec,cpu_result,gpu_result,abs_error
0.001000000,20,8766,8786,0.001028125,1.250312000,1.262291000,1.300364000,1.487700000,0.225409000,15.151509041,0.012000000,0.000000000,0.102812514,99.897187486,0.102812514,0.098720000,96.019440000,76.216168855,6652455.025005848,6652426.350000000,28.675005849
0.010000000,193,8766,8959,0.010028136,1.348645000,1.376406000,1.872552000,1.578300000,0.201894000,12.791864665,0.034000000,0.000100000,1.002813597,98.997186403,1.002813597,0.962896000,96.019440000,69.897242529,64770770.609128147,64770491.369999997,279.239128150
0.050000000,959,8766,9725,0.050002208,1.445937000,1.459531000,1.698750000,1.563500000,0.103969000,6.649760154,0.012200000,0.000100000,5.000220789,94.999779211,5.000220789,4.801184000,96.019440000,65.916369025,323846556.998576760,323845165.910000026,1391.088576734
0.100000000,1796,8766,10562,0.090601320,1.495052000,1.500677000,1.568906000,1.609200000,0.108523000,6.743910017,0.011800000,0.000000000,9.060131990,90.939868010,9.060131990,8.699488000,96.019440000,64.109054780,587040312.519793034,587037789.759999990,2522.759793043
0.250000000,1796,8766,10562,0.090601320,1.496041000,1.500885000,1.511718000,1.586400000,0.085515000,5.390506808,0.011300000,0.000000000,9.060131990,90.939868010,9.060131990,8.699488000,96.019440000,64.100170233,587040312.519793034,587037789.759999990,2522.759793043
0.500000000,1796,8766,10562,0.090601320,1.499843000,1.504010000,1.525677000,1.794100000,0.290090000,16.169109860,0.008800000,0.000000000,9.060131990,90.939868010,9.060131990,8.699488000,96.019440000,63.966984262,587040312.519793034,587037789.759999990,2522.759793043
1.000000000,1796,8766,10562,0.090601320,1.503697000,1.508906000,1.762500000,1.826000000,0.317094000,17.365498357,0.009300000,0.000100000,9.060131990,90.939868010,9.060131990,8.699488000,96.019440000,63.759428354,587040312.519793034,587037789.759999990,2522.759793043
