Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Data Efficiency (%),Bandwidth (GB/s)
0.033,1.072,1.335,19.7,0.0,0.0,67.4
0.28,1.114,1.328,16.1,0.3,0.3,64.8
1.369,1.247,1.411,11.7,1.4,1.4,57.9
2.727,1.235,1.441,14.3,2.7,2.7,58.5
6.827,1.245,1.446,13.9,6.8,6.8,58.0
13.653,1.278,1.478,13.5,13.7,13.7,56.5
19.709,1.289,1.364,5.5,19.7,19.7,56.0
