target_selectivity,window_days,start_day,end_day,achieved_selectivity,kernel_ms_min,kernel_ms_median, kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage, gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB, total_data_MB,bandwidth_GB_per_sec,cpu_result,gpu_result,abs_error_cents,rel_err
0.000100000,1,8766,8767,0.000144117,13.625937000,14.035833000,14.252187000,14.741700000,0.705867000,4.788233379,0.153900000,0.000000000,0.014411684,99.985588316,0.014411684,0.138320000,959.776832000,68.514024070,10793574.245291250,10793575.730000000,0,0.000000138
0.001000000,8,8766,8774,0.001139532,13.835416000,14.172864000,14.401822000,14.825400000,0.652536000,4.401473147,0.151000000,0.000000000,0.113953157,99.886046843,0.113953157,1.093696000,959.776832000,67.851593016,85849948.611580074,85849956.599999994,0,0.000000093
0.010000000,71,8766,8837,0.010121119,14.902187000,15.176822000,15.294218000,15.858900000,0.682078000,4.300916205,0.200300000,0.000000000,1.012111949,98.987888051,1.012111949,9.714016000,959.776832000,63.363159955,764255541.776435375,764255623.720000029,0,0.000000107
0.050000000,351,8766,9117,0.050081859,15.549895000,15.934010000,16.254739000,16.652900000,0.718890000,4.316905764,0.144800000,0.000000000,5.008185903,94.991814097,5.008185903,48.067408000,959.776832000,60.352127305,3786738305.674726486,3786738704.449999809,0,0.000000105
0.100000000,701,8766,9467,0.100094402,15.965989000,16.688489000,16.933906000,17.376300000,0.687811000,3.958328298,0.153000000,0.000100000,10.009440195,89.990559805,10.009440195,96.068288000,959.776832000,57.623635070,7563894390.536820412,7563895202.670000076,0,0.000000107
0.250000000,1796,8766,10562,0.247882708,17.683072000,17.884687000,17.958750000,18.600900000,0.716213000,3.850421216,0.149500000,0.000000000,24.788270780,75.211729220,24.788270780,237.912080000,959.776832000,53.769540389,18728755477.142116547,18728757486.979999542,0,0.000000107
