operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,8,1.69599,0,0.011979,2.2599,5.89626e+09,70.9394,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,8,1.18427,0,0.004687,1.6041,8.44402e+09,135.104,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,9,0.801041,0.002864,0.002812,1.2069,1.24838e+10,49.935,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,9,0.775677,0.003697,0.002604,1.1925,1.2892e+10,154.755,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,9,1.74776,0,0.010885,2.3795,5.72161e+09,68.8381,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,9,0.814583,0,0.004895,1.2472,1.22762e+10,196.42,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,100000,0.847395,0.003333,0.003177,1.3357,1.18009e+10,47.2035,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,100000,1.08729,0.00375,0.003125,1.4783,9.19717e+09,110.735,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,100000,1.8262,0,0.012083,2.56,5.47586e+09,65.8814,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,100000,1.25344,0,0.004739,1.8652,7.97806e+09,127.649,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,0,1.26771,0.003906,0.003229,1.7217,7.88825e+09,31.553,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,0,1.21151,0.003489,0.003229,1.7297,8.25416e+09,99.3813,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,0,1.88099,0,0.012604,2.8836,5.31635e+09,63.9624,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,0,1.31802,0,0.005103,1.7102,7.58714e+09,121.394,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,1,1.05135,0.003697,0.003125,1.5061,9.51154e+09,38.0462,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,1,1.09958,0.00375,0.003281,1.8147,9.09436e+09,109.497,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,1,1.90417,0,0.011614,2.6573,5.25164e+09,63.1838,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,1,1.21828,0,0.004218,1.7182,8.20829e+09,131.333,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,2,1.13052,0.00375,0.002552,1.5902,8.84549e+09,35.3819,1
