operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,8,1.72833,0,0.013437,2.3576,5.78592e+09,69.6119,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,8,0.814635,0,0.004635,1.2677,1.22754e+10,196.407,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,9,0.735572,0.003281,0.0025,1.2195,1.35949e+10,54.3794,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,9,0.754895,0.003437,0.002604,1.2352,1.32469e+10,159.015,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,9,1.7412,0,0.010468,2.5902,5.74318e+09,69.0976,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,9,0.880208,0,0.005051,1.3796,1.1361e+10,181.775,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,100000,1.6801,0.003854,0.002447,2.0943,5.95201e+09,23.808,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,100000,1.06182,0.003385,0.002812,1.5318,9.41777e+09,113.391,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,100000,1.85489,0,0.01125,2.811,5.39114e+09,64.8622,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,100000,1.20161,0,0.004374,1.597,8.32214e+09,133.154,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,0,1.11,0.003437,0.002447,1.4993,9.00901e+09,36.036,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,0,1.03865,0.003281,0.00276,1.4213,9.62793e+09,115.922,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,0,2.02297,0,0.010989,2.8222,4.94323e+09,59.4733,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,0,1.25463,0,0.004322,1.9012,7.97045e+09,127.527,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,1,1.11818,0.004375,0.00302,1.5515,8.94313e+09,35.7725,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,1,1.06427,0.003958,0.003281,1.4557,9.39611e+09,113.131,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,1,1.89552,0,0.010625,2.7794,5.2756e+09,63.472,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,1,1.18208,0,0.005207,1.779,8.45964e+09,135.354,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,2,1.12396,0.003437,0.002604,1.5984,8.89713e+09,35.5885,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,2,1.13068,0.00875,0.003125,1.8005,8.84426e+09,106.486,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,2,1.91521,0,0.011979,2.7063,5.22136e+09,62.8195,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,2,1.13338,0,0.004426,1.5357,8.82313e+09,141.17,1
