"Computing Task","Global","Local","Total Time","Average Time","Instance Count","SIMD Width","SVM Usage Type","Spill Memory Size","Host-to-Device","Device-to-Host","Active","Stalled","Idle","Peak EU Threads Occupancy","EU Threads Occupancy","Computing Threads Started","L3 Bandwidth, GB/sec","Read","Write","Read","Write","Busy","Bottleneck","GPU Barriers","GPU Atomics"
"q6_kernel_reduce","29999872","256","0.0982388","0.00818657","12","32","","0","0","0","0.461327","0.527373","0.0112998","1","0.967799","5298604","55.6424","51.3205","15.096","55.352","0.132781","0.000160577","0.000166807","95324349","0"
"clEnqueueReadBuffer","","","0.000798666","6.65555e-05","12","","","","0","11249952","0","0","1","0","0","0","0","0","0","0.00272454","0.0778899","0","0","0","0"
"[Unknown]","","","0","0","0","","","","0","0","0.117454","0.250154","0.632392","0","0.304167","326372","0.00800958","0.00744082","0.00218435","0.0210205","0.00808126","0.257192","0.0177402","5925219","0"
