"Computing Task","Global","Local","Total Time","Average Time","Instance Count","SIMD Width","SVM Usage Type","Spill Memory Size","Host-to-Device","Device-to-Host","Active","Stalled","Idle","Peak EU Threads Occupancy","EU Threads Occupancy","Computing Threads Started","L3 Bandwidth, GB/sec","Read","Write","Read","Write","Busy","Bottleneck","GPU Barriers","GPU Atomics"
"q1_aggregate","29999808","64","16.4415","1.37012","12","8","","0","0","0","0.0533481","0.907165","0.0394873","0.206618","0.137271","22494992","2.29946","22.9962","19.1113","0.0938877","0.263756","5.60274e-05","1.39501e-06","314926678","0"
"clEnqueueReadBuffer","","","0.346664","0.00412695","84","","","","0","3982474512","0.00269155","0.0333917","0.963917","0","0.0304208","0","0","0","0","0.00072259","0.000636743","0.0334471","0.00135975","0","0"
"[Unknown]","","","0","0","0","","","","0","0","0.00498074","0.0559267","0.939093","0","0.0267803","4864","0.000186466","0.00177264","0.00144365","0.00150581","0.00211996","0.0244635","0.000797768","71306","0"
