Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Wasted Threads (%),Bandwidth (GB/s),Err (cents),Err/Row (cents)
0.233,0.307,0.849,63.8,0.2,99.8,63.45,27,0.009534
0.467,0.309,0.873,64.6,0.5,99.5,62.96,58,0.010218
0.767,0.314,0.85,63.0,0.8,99.2,61.99,73,0.007836
1.016,0.333,0.854,61.0,1.0,99.0,58.49,103,0.008342
1.261,0.33,0.844,60.9,1.3,98.7,59.01,118,0.007706
1.531,0.319,0.842,62.1,1.5,98.5,61.05,151,0.008118
1.791,0.327,0.856,61.8,1.8,98.2,59.49,170,0.007812
2.01,0.344,0.864,60.2,2.0,98.0,56.6,197,0.008068
2.293,0.372,0.898,58.6,2.3,97.7,52.42,253,0.009084
2.56,0.351,0.865,59.4,2.6,97.4,55.52,223,0.007172
