target_selectivity,window_days,start_day,end_day,matched_rows,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,useful_data_MB,total_data_MB,estimated_bandwidth_GB_per_sec,cpu_result,gpu_result,abs_error_cents,rel_err
0.000100000,1,8766,8767,8645,0.000144117,13.583906000,13.999791000,14.083020000,14.739400000,0.739609000,5.017904392,0.137500000,0.095700000,0.138320000,959.776832000,68.556511451,10793574.245291250,10793575.730000000,0,0.000000138
0.001000000,8,8766,8774,68356,0.001139532,13.474843000,14.099947000,14.270885000,14.887100000,0.787153000,5.287483795,0.136900000,0.092200000,1.093696000,959.776832000,68.069534729,85849948.611580074,85849956.599999994,0,0.000000093
0.010000000,71,8766,8837,607126,0.010121119,14.737656000,15.013697000,15.196510000,15.833800000,0.820103000,5.179445237,0.180100000,0.106800000,9.714016000,959.776832000,63.926748488,764255541.776435375,764255623.720000029,0,0.000000107
0.050000000,351,8766,9117,3004213,0.050081859,15.624531000,15.874375000,16.155000000,16.664400000,0.790025000,4.740794748,0.140500000,0.091600000,48.067408000,959.776832000,60.460763463,3786738305.674726486,3786738704.449999809,0,0.000000105
0.100000000,701,8766,9467,6004268,0.100094402,16.170364000,16.649479000,16.836197000,17.451200000,0.801721000,4.594073760,0.138000000,0.093800000,96.068288000,959.776832000,57.646057994,7563894390.536820412,7563895202.670000076,0,0.000000107
0.250000000,1796,8766,10562,14869505,0.247882708,17.323593000,17.637656000,17.779583000,18.395200000,0.757544000,4.118161259,0.145500000,0.090700000,237.912080000,959.776832000,54.416348295,18728755477.142116547,18728757486.979999542,0,0.000000107
