target_selectivity,window_days,start_day,end_day,matched_rows,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,useful_data_MB,total_data_MB,estimated_bandwidth_GB_per_sec,cpu_result,gpu_result,abs_error_cents,rel_err
0.000100000,1,8766,8767,4315,0.000143834,7.119427000,7.326614000,7.580989000,8.047900000,0.721286000,8.962412555,0.070500000,0.039100000,0.069040000,479.996720000,65.514126990,5456126.052629739,5456126.660000000,0,0.000000111
0.001000000,8,8766,8774,34205,0.001140174,7.011770000,7.235625000,7.835729000,7.891900000,0.656275000,8.315804813,0.089200000,0.062700000,0.547280000,479.996720000,66.337976332,43168101.720320739,43168106.159999996,0,0.000000103
0.010000000,71,8766,8837,303465,0.010115569,7.633437000,7.782447000,8.043750000,8.459500000,0.677053000,8.003463562,0.085600000,0.038900000,4.855440000,479.996720000,61.676837632,382569544.217583477,382569585.160000026,0,0.000000107
0.050000000,351,8766,9117,1503638,0.050121609,8.110156000,8.356458000,8.605052000,9.063100000,0.706642000,7.796912756,0.064000000,0.037500000,24.058208000,479.996720000,57.440212109,1895551926.148908138,1895552124.710000038,0,0.000000105
0.100000000,701,8766,9467,3002126,0.100071550,8.675520000,8.965312000,9.132552000,9.531200000,0.565888000,5.937216720,0.063100000,0.036300000,48.034016000,479.996720000,53.539321331,3782725807.866172791,3782726205.829999924,0,0.000000105
0.250000000,1796,8766,10562,7437848,0.247929961,9.189479000,9.464895000,9.692708000,10.183900000,0.719005000,7.060212689,0.106600000,0.079300000,119.005568000,479.996720000,50.713369773,9367851648.191865921,9367852647.049999237,0,0.000000107
