target_selectivity,window_days,start_day,end_day,matched_rows,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,useful_data_MB,total_data_MB,estimated_bandwidth_GB_per_sec,cpu_result,gpu_result,abs_error_cents,rel_err
0.000100000,1,8766,8767,830,0.000138305,1.675364000,1.801406000,1.922031000,2.341600000,0.540194000,23.069439699,0.015700000,0.002700000,0.013280000,96.019440000,53.302498160,1046902.833862386,1046902.930000000,0,0.000000092
0.001000000,8,8766,8774,6755,0.001125605,1.794322000,1.905677000,1.949062000,2.433600000,0.527923000,21.693088429,0.014200000,0.002800000,0.108080000,96.019440000,50.385999306,8544633.498626586,8544634.830000000,0,0.000000156
0.010000000,71,8766,8837,60391,0.010063129,1.932343000,2.010572000,2.017343000,2.518000000,0.507428000,20.152025417,0.013900000,0.002600000,0.966256000,96.019440000,47.757275044,76052442.191821486,76052450.180000007,0,0.000000105
0.050000000,351,8766,9117,300907,0.050141013,2.050364000,2.191875000,2.198906000,2.721000000,0.529125000,19.445975744,0.014500000,0.002800000,4.814512000,96.019440000,43.806987169,378952163.850704253,378952203.569999993,0,0.000000105
0.100000000,699,8766,9465,600426,0.100050740,2.160312000,2.337760000,2.344479000,2.838900000,0.501140000,17.652611927,0.015300000,0.002900000,9.606816000,96.019440000,41.073266717,755728940.881988287,755729021.909999967,0,0.000000107
0.250000000,1796,8766,10562,1489557,0.248209238,2.217187000,2.523802000,2.526927000,2.990700000,0.466898000,15.611662821,0.015000000,0.002700000,23.832912000,96.019440000,38.045551909,1875847179.428263664,1875847378.210000038,0,0.000000106
