target_selectivity,cutoff_date,matched_cpu,matched_gpu,matched_error,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,useful_data_MB,total_data_MB,estimated_bandwidth_GB_per_sec,num_groups,validation_cpu_result,validation_gpu_result,abs_error,rel_error
0.000100000,1992-01-09,704,704,0,0.000117310,276.190677000,276.665625000,276.821041000,295.423700000,18.758075000,6.349549816,12.551500000,4.845500000,0.015488000,132.026730000,0.477206845,2,25755473.632812500,25755471.149999999,2.482812501,0.000000096
0.001000000,1992-01-25,6121,6121,0,0.001019960,276.570989000,277.184635000,277.466041000,295.871400000,18.686765000,6.315840260,12.968900000,4.927100000,0.134662000,132.026730000,0.476313306,2,231276250.839843750,231276230.899999976,19.939843774,0.000000086
0.010000000,1992-03-17,60177,60177,0,0.010027469,278.476041000,278.864947000,279.173020000,297.847100000,18.982153000,6.373119967,13.303800000,4.672600000,1.323894000,132.026730000,0.473443261,2,2269895328.197692871,2269895128.519999981,199.677692890,0.000000088
0.100000000,1992-10-29,600472,600472,0,0.100058405,283.487916000,283.815156000,284.195468000,304.821000000,21.005844000,6.891206315,15.162500000,4.924000000,13.210384000,132.026730000,0.465185622,2,22697662829.035339355,22697660854.389999390,1974.645339966,0.000000087
0.250000000,1993-10-26,1500378,1500378,0,0.250012372,285.324843000,285.528229000,285.823541000,304.355800000,18.827571000,6.186039826,13.384700000,4.801700000,33.008316000,132.026730000,0.462394666,2,56729496746.347656250,56729491811.259994507,4935.087661743,0.000000087
0.500000000,1995-06-19,3001221,3001221,0,0.500102229,285.455677000,285.796979000,285.999114000,304.640000000,18.843021000,6.185340402,13.311800000,4.932100000,66.026862000,132.026730000,0.461959852,4,113452682586.944458008,113452672707.759994507,9879.184463501,0.000000087
0.750000000,1997-02-09,4503074,4503074,0,0.750360385,285.766979000,286.133072000,286.434322000,305.075000000,18.941928000,6.208941408,13.375500000,4.747600000,99.067628000,132.026730000,0.461417232,4,170236872915.126708984,170236858093.029998779,14822.096710205,0.000000087
1.000000000,1998-12-01,6001215,6001215,0,1.000000000,285.656614000,285.896458000,286.427552000,304.976100000,19.079642000,6.256110561,13.288900000,5.241300000,132.026730000,132.026730000,0.461799111,4,226829355037.445739746,226829335284.270019531,19753.175720215,0.000000087
