target_selectivity,cutoff_date,matched_cpu,matched_gpu,matched_error,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,useful_data_MB,total_data_MB,estimated_bandwidth_GB_per_sec,num_groups,validation_cpu_result,validation_gpu_result,abs_error,rel_error
0.000100000,1992-01-09,7384,7384,0,0.000123095,2761.249479000,2771.699062000,2807.554531000,2982.684600000,210.985538000,7.073679128,137.270700000,55.720600000,0.162448000,1319.693144000,0.476131468,2,277278658.853637695,277278634.699999988,24.153637707,0.000000087
0.001000000,1992-01-25,61954,61954,0,0.001032807,2742.303697000,2748.154791000,2756.437760000,2963.205700000,215.050909000,7.257373627,161.959700000,58.232600000,1.362988000,1319.693144000,0.480210630,2,2341516991.331542969,2341516787.430000305,203.901542664,0.000000087
0.010000000,1992-03-17,603277,603277,0,0.010056955,2775.691822000,2780.379791000,2795.634114000,2992.921100000,212.541309000,7.101467159,160.327800000,58.105900000,13.272094000,1319.693144000,0.474644920,2,22813308034.161804199,22813306047.909999847,1986.251804352,0.000000087
0.100000000,1992-10-28,6000939,6000939,0,0.100038906,2810.321510000,2835.492656000,2857.592343000,3129.286500000,293.793844000,9.388524956,211.249300000,79.013600000,132.020658000,1319.693144000,0.465419348,2,226752955086.614562988,226752935332.309997559,19754.304565430,0.000000087
0.250000000,1993-10-24,15009862,15009862,0,0.250222535,2835.414635000,2838.723125000,2843.444531000,3052.932800000,214.209675000,7.016521130,149.339800000,61.050200000,330.216964000,1319.693144000,0.464889701,2,567020183078.178344727,567020133641.330078125,49436.848266602,0.000000087
0.500000000,1995-06-17,29998258,29998258,0,0.500087220,2832.970937000,2847.353333000,2867.016979000,3082.717800000,235.364467000,7.634966360,178.583200000,70.610900000,659.961676000,1319.693144000,0.463480640,3,1133501928693.203125000,1133501829889.489990234,98803.713134766,0.000000087
0.750000000,1997-02-08,45006757,45006757,0,0.750287033,2842.424531000,2846.394010000,2851.047239000,3062.295900000,215.901890000,7.050327501,136.242600000,48.772600000,990.148654000,1319.693144000,0.463636847,4,1700401878191.525390625,1700401729942.719970703,148248.805419922,0.000000087
1.000000000,1998-12-01,59986052,59986052,0,1.000000000,2827.052083000,2827.450468000,2828.317708000,3038.246100000,210.795632000,6.938069698,150.025900000,57.767400000,1319.693144000,1319.693144000,0.466743152,4,2266298676055.032226562,2266298478482.350097656,197572.682128906,0.000000087
