operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,8,1.77521,0,0.017291,2.5738,5.63314e+09,67.7738,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,8,0.913333,0,0.005312,1.3188,1.09489e+10,175.183,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,9,0.832552,0.003385,0.003489,1.3021,1.20113e+10,48.045,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,9,0.867343,0.007291,0.003385,1.326,1.15295e+10,138.4,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,9,1.77323,0,0.011927,2.4775,5.63943e+09,67.8494,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,9,0.868333,0,0.005468,1.3083,1.15163e+10,184.261,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,100000,0.798697,0.006822,0.003906,1.1885,1.25204e+10,50.0816,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,100000,1.03594,0.004739,0.003333,1.4639,9.6531e+09,116.225,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,100000,1.92016,0,0.012135,2.5235,5.20791e+09,62.6577,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,100000,1.15474,0,0.004582,1.6117,8.65997e+09,138.56,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,0,1.07198,0.004375,0.003333,1.4905,9.32854e+09,37.3142,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,0,1.07682,0.00427,0.003229,1.4887,9.28659e+09,111.812,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,0,1.85411,0,0.012864,2.4071,5.39341e+09,64.8895,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,0,1.1726,0,0.005416,1.6343,8.52803e+09,136.449,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,1,1.15864,0.00401,0.003125,1.6813,8.63077e+09,34.5231,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,1,1.19521,0.004114,0.003125,1.6249,8.36674e+09,100.737,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,1,1.88562,0,0.013854,2.4918,5.30328e+09,63.8051,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,1,1.16187,0,0.005624,1.5848,8.60678e+09,137.709,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,2,1.12474,0.00427,0.003645,1.5237,8.89095e+09,35.5638,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,2,1.0276,0.00401,0.003281,1.4304,9.73138e+09,117.167,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,2,1.86823,0,0.012604,2.6029,5.35266e+09,64.3992,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,2,1.16172,0,0.005624,1.5866,8.60794e+09,137.727,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,3,1.13536,0.00401,0.002968,1.8557,8.80775e+09,35.231,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,3,1.14573,0.003229,0.003281,1.6371,8.72807e+09,105.087,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,3,1.92125,0,0.012604,2.7004,5.20494e+09,62.622,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,3,1.27891,0,0.005832,1.8521,7.81918e+09,125.107,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,4,1.19307,0.003906,0.003229,1.8733,8.38172e+09,33.5269,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,4,1.15338,0.004635,0.003333,1.5047,8.67013e+09,104.39,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,4,1.90005,0,0.012708,2.6841,5.26301e+09,63.3206,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,4,1.15469,0,0.005363,1.8147,8.66036e+09,138.566,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,5,1.19906,0.003802,0.002916,1.5961,8.33985e+09,33.3594,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,5,1.15625,0.003541,0.003593,1.6186,8.64865e+09,104.131,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,5,1.89588,0,0.012604,2.5346,5.27458e+09,63.4598,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,5,1.15219,0,0.005364,1.5653,8.67915e+09,138.866,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,6,1.25443,0.003906,0.002864,1.603,7.97177e+09,31.8871,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,6,1.03672,0.003489,0.002916,1.4442,9.64582e+09,116.137,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,6,2.08958,0,0.01125,2.8292,4.78564e+09,57.5773,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,6,1.15135,0,0.004895,1.5855,8.68543e+09,138.967,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,7,1.22766,0.004166,0.002968,1.6411,8.1456e+09,32.5824,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,7,1.03906,0.004479,0.003177,1.6795,9.62406e+09,115.875,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,7,1.90937,0,0.013072,2.5965,5.23732e+09,63.0115,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,7,1.42026,0,0.004739,1.9042,7.04096e+09,112.655,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,8,1.16781,0.003958,0.003489,1.5918,8.56302e+09,34.2521,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,8,1.10818,0.00401,0.003541,1.5061,9.02383e+09,108.648,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,8,1.87864,0,0.012656,2.4531,5.32299e+09,64.0422,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,8,1.17026,0,0.005416,1.6487,8.54511e+09,136.722,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,9,1.13302,0.00375,0.003177,1.5537,8.82597e+09,35.3039,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,9,1.02448,0.003489,0.00302,1.4531,9.76106e+09,117.525,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,9,1.84854,0,0.012447,2.5592,5.40967e+09,65.0851,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,9,1.14432,0,0.004999,1.5656,8.7388e+09,139.821,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,100000,1.14672,0.003541,0.002812,1.5192,8.72054e+09,34.8822,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,100000,1.56172,0.003541,0.003125,2.0201,6.4032e+09,78.1205,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,100000,2.02354,0,0.010781,2.8968,4.94183e+09,59.4564,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,100000,1.93125,0,0.005312,2.3712,5.17799e+09,82.8479,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,0,0.884322,0.003541,0.003125,1.3226,1.13081e+10,45.2324,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,0,1.53542,0.004218,0.003802,2.005,6.51289e+09,79.4587,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,0,2.16807,0,0.011562,2.8289,4.61239e+09,55.4929,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,0,1.89031,0,0.005781,2.4366,5.29013e+09,84.6421,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,1,0.832447,0.004166,0.002864,1.1954,1.20128e+10,48.0511,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,1,1.51885,0.004635,0.00302,1.92,6.58391e+09,80.3251,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,1,2.04599,0,0.013333,2.5555,4.88761e+09,58.8041,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,1,1.89167,0,0.005,2.2681,5.28635e+09,84.5816,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,2,0.826562,0.003854,0.003125,1.2017,1.20983e+10,48.3932,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,2,1.63594,0.004166,0.003489,2.1419,6.1127e+09,74.5763,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,2,2.07937,0,0.011302,2.7175,4.80914e+09,57.8599,1
