target_selectivity,window_days,start_day,end_day,achieved_selectivity,kernel_ms_min,kernel_ms_median, kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage, gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB, total_data_MB,bandwidth_GB_per_sec,cpu_result,gpu_result,abs_error_cents,rel_err
0.000100000,1,8766,8767,0.000144117,13.800677000,13.997291000,14.181875000,14.946300000,0.949009000,6.349457725,0.149300000,0.000000000,0.014411684,99.985588316,0.014411684,0.138320000,959.776832000,68.702679683,10793574.245291250,10793575.730000000,0,0.000000138
0.001000000,8,8766,8774,0.001139532,13.317864000,13.801770000,14.278489000,14.706800000,0.905030000,6.153820002,0.138100000,0.000000000,0.113953157,99.886046843,0.113953157,1.093696000,959.776832000,69.675947360,85849948.611580074,85849956.599999994,0,0.000000093
0.010000000,71,8766,8837,0.010121119,14.673802000,14.874739000,15.336979000,15.863900000,0.989161000,6.235295230,0.140100000,0.000000000,1.012111949,98.987888051,1.012111949,9.714016000,959.776832000,64.649967976,764255541.776435375,764255623.720000029,0,0.000000107
0.050000000,351,8766,9117,0.050081859,15.109687000,15.433750000,15.958593000,16.348400000,0.914650000,5.594737100,0.148100000,0.000100000,5.008185903,94.991814097,5.008185903,48.067408000,959.776832000,62.308343727,3786738305.674726486,3786738704.449999809,0,0.000000105
0.100000000,701,8766,9467,0.100094402,16.027656000,16.306718000,16.630729000,17.256800000,0.950082000,5.505551435,0.203500000,0.000100000,10.009440195,89.990559805,10.009440195,96.068288000,959.776832000,58.972712964,7563894390.536820412,7563895202.670000076,0,0.000000107
0.250000000,1796,8766,10562,0.247882708,16.986875000,17.395677000,17.651354000,18.353500000,0.957823000,5.218748468,0.244200000,0.000100000,24.788270780,75.211729220,24.788270780,237.912080000,959.776832000,55.281056322,18728755477.142116547,18728757486.979999542,0,0.000000107
0.500000000,1796,8766,10562,0.247882708,17.181093000,17.793541000,18.104322000,18.707900000,0.914359000,4.887555525,0.141700000,0.000000000,24.788270780,75.211729220,24.788270780,237.912080000,959.776832000,54.044970588,18728755477.142116547,18728757486.979999542,0,0.000000107
1.000000000,1796,8766,10562,0.247882708,17.491145000,17.881718000,18.170833000,18.794700000,0.912982000,4.857656680,0.138600000,0.000100000,24.788270780,75.211729220,24.788270780,237.912080000,959.776832000,53.778468042,18728755477.142116547,18728757486.979999542,0,0.000000107
