target_selectivity,cutoff_date,matched_cpu,matched_gpu,matched_error,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,useful_data_MB,total_data_MB,estimated_bandwidth_GB_per_sec,num_groups,validation_cpu_result,validation_gpu_result,abs_error,rel_error
0.000100000,1992-01-09,3664,3664,0,0.000122134,1375.415364000,1375.893281000,1376.335364000,1470.600900000,94.707619000,6.440062630,69.144500000,25.101400000,0.080608000,659.995490000,0.479685088,2,136628664.543945312,136628652.400000006,12.143945307,0.000000089
0.001000000,1992-01-25,31018,31018,0,0.001033940,1375.318906000,1376.428593000,1385.985781000,1480.470400000,104.041807000,7.027618181,76.968500000,29.554100000,0.682396000,659.995490000,0.479498532,2,1170422610.512939453,1170422508.619999886,101.892939568,0.000000087
0.010000000,1992-03-17,301255,301255,0,0.010041902,1383.879635000,1391.545052000,1400.926718000,1520.622800000,129.077748000,8.488479063,79.267200000,30.261900000,6.627610000,659.995490000,0.474289703,2,11393082430.173156738,11393081438.619998932,991.553157806,0.000000087
0.100000000,1992-10-29,3011317,3011317,0,0.100377919,1433.139114000,1477.772604000,1482.441145000,1659.431200000,181.658596000,10.947039925,132.295800000,46.062600000,66.248974000,659.995490000,0.446615053,2,113828313236.023742676,113828303320.510009766,9915.513732910,0.000000087
0.250000000,1993-10-24,7507062,7507062,0,0.250237110,1410.784427000,1411.189062000,1423.936770000,1554.743800000,143.554738000,9.233337223,101.572400000,41.378500000,165.155364000,659.995490000,0.467687504,2,283647060878.476074219,283647036157.660034180,24720.816040039,0.000000087
0.500000000,1995-06-17,15002681,15002681,0,0.500092784,1411.631302000,1412.015677000,1412.136718000,1552.708400000,140.692723000,9.061116885,101.448700000,38.777000000,330.058982000,659.995490000,0.467413713,3,566903148386.157714844,566903098986.609863281,49399.547851562,0.000000087
0.750000000,1997-02-08,22507620,22507620,0,0.750259127,1413.856197000,1449.920260000,1460.290208000,1555.609800000,105.689540000,6.794090652,106.350200000,35.603900000,495.167640000,659.995490000,0.455194336,4,850366903748.955566406,850366829636.819946289,74112.135620117,0.000000087
1.000000000,1998-12-01,29999795,29999795,0,1.000000000,1413.041927000,1413.299218000,1413.600937000,1532.093300000,118.794082000,7.753710691,84.421300000,33.428000000,659.995490000,659.995490000,0.466989213,4,1133439457956.434570312,1133439359170.319824219,98786.114746094,0.000000087
