Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Data Efficiency (%),Bandwidth (GB/s),Active Groups
0.012,2747.425,2925.685,6.1,0.0,0.0,0.722,2
0.103,2749.515,2926.284,6.0,0.1,0.1,0.721,2
1.006,2769.131,2953.669,6.2,1.0,1.0,0.716,2
10.004,2821.613,3006.575,6.2,10.0,10.0,0.703,2
25.022,2836.52,3012.679,5.8,25.0,25.0,0.699,2
50.009,2838.29,3014.01,5.8,50.0,50.0,0.699,3
75.029,2841.018,3016.961,5.8,75.0,75.0,0.698,4
100.0,2841.379,3018.308,5.9,100.0,100.0,0.698,4
