Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Data Efficiency (%),Bandwidth (GB/s)
0.014,7.275,7.919,8.1,0.0,0.0,66.1
0.114,7.48,8.068,7.3,0.1,0.1,64.3
1.012,8.032,8.675,7.4,1.0,1.0,59.9
5.012,8.293,8.893,6.7,5.0,5.0,58.0
10.007,8.288,8.982,7.7,10.0,10.0,58.0
24.793,8.825,9.541,7.5,24.8,24.8,54.5
24.793,9.143,9.812,6.8,24.8,24.8,52.6
24.793,8.676,9.359,7.3,24.8,24.8,55.4
