Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Data Efficiency (%),Bandwidth (GB/s)
0.014,7.788,8.404,7.3,0.0,0.0,61.8
0.114,7.806,8.383,6.9,0.1,0.1,61.6
1.012,7.859,8.455,7.0,1.0,1.0,61.2
5.012,8.43,9.051,6.9,5.0,5.0,57.1
10.007,8.524,9.185,7.2,10.0,10.0,56.4
24.793,9.55,10.142,5.8,24.8,24.8,50.4
