Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Data Efficiency (%),Bandwidth (GB/s),Active Groups
0.012,1517.32,1611.43,5.8,0.0,0.0,0.654,2
0.103,1521.249,1614.8,5.8,0.1,0.1,0.652,2
1.004,1528.056,1621.806,5.8,1.0,1.0,0.649,2
10.038,1557.61,1651.894,5.7,10.0,10.0,0.637,2
25.024,1563.753,1657.494,5.7,25.0,25.0,0.634,2
50.009,1565.123,1659.337,5.7,50.0,50.0,0.634,3
75.026,1566.988,1661.146,5.7,75.0,75.0,0.633,4
100.0,1568.694,1662.982,5.7,100.0,100.0,0.632,4
