Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Data Efficiency (%),Bandwidth (GB/s)
0.014,14.036,14.742,4.8,0.0,0.0,68.5
0.114,14.173,14.825,4.4,0.1,0.1,67.9
1.012,15.177,15.859,4.3,1.0,1.0,63.4
5.008,15.934,16.653,4.3,5.0,5.0,60.4
10.009,16.688,17.376,4.0,10.0,10.0,57.6
24.788,17.885,18.601,3.9,24.8,24.8,53.8
