Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Data Efficiency (%),Bandwidth (GB/s)
0.014,13.308,14.284,6.8,0.0,0.0,72.3
0.114,13.417,14.322,6.3,0.1,0.1,71.7
1.012,14.621,15.778,7.3,1.0,1.0,65.8
5.008,15.111,16.342,7.5,5.0,5.0,63.6
10.009,16.548,17.416,5.0,10.0,10.0,58.1
24.788,17.475,18.371,4.9,24.8,24.8,55.0
24.788,17.8,18.754,5.1,24.8,24.8,54.0
24.788,17.488,18.428,5.1,24.8,24.8,55.0
