Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Data Efficiency (%),Bandwidth (GB/s)
0.103,1.262,1.488,15.2,0.1,0.1,76.2
1.003,1.376,1.578,12.8,1.0,1.0,69.9
5.0,1.46,1.564,6.6,5.0,5.0,65.9
9.06,1.501,1.609,6.7,9.1,9.1,64.1
9.06,1.501,1.586,5.4,9.1,9.1,64.1
9.06,1.504,1.794,16.2,9.1,9.1,64.0
9.06,1.509,1.826,17.4,9.1,9.1,63.8
