target_selectivity,window_days,start_day,end_day,achieved_selectivity,kernel_ms_min,kernel_ms_median, kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage, gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB, total_data_MB,bandwidth_GB_per_sec,cpu_result,gpu_result,abs_error_cents,rel_err
0.000100000,1,8766,8767,0.000143834,6.893958000,7.275104000,7.638072000,7.918800000,0.643696000,8.128706370,0.071000000,0.000000000,0.014383432,99.985616568,0.014383432,0.069040000,479.996720000,66.106850981,5456126.052629739,5456126.660000000,0,0.000000111
0.001000000,8,8766,8774,0.001140174,6.891197000,7.479739000,7.812187000,8.068500000,0.588761000,7.297031666,0.060600000,0.000000000,0.114017446,99.885982554,0.114017446,0.547280000,479.996720000,64.298261744,43168101.720320739,43168106.159999996,0,0.000000103
0.010000000,71,8766,8837,0.010115569,7.535781000,8.031822000,8.217135000,8.675300000,0.643478000,7.417357325,0.064600000,0.000100000,1.011556912,98.988443088,1.011556912,4.855440000,479.996720000,59.878594919,382569544.217583477,382569585.160000026,0,0.000000107
0.050000000,351,8766,9117,0.050121609,7.888906000,8.292916000,8.739375000,8.892900000,0.599984000,6.746775518,0.068800000,0.000000000,5.012160916,94.987839084,5.012160916,24.058208000,479.996720000,57.993378445,1895551926.148908138,1895552124.710000038,0,0.000000105
0.100000000,701,8766,9467,0.100071550,8.210000000,8.288489000,8.355416000,8.981600000,0.693111000,7.717010332,0.085500000,0.000000000,10.007155049,89.992844951,10.007155049,48.034016000,479.996720000,58.024353534,3782725807.866172791,3782726205.829999924,0,0.000000105
0.250000000,1796,8766,10562,0.247929961,8.718854000,8.825104000,8.896354000,9.540600000,0.715496000,7.499486405,0.093100000,0.000000000,24.792996085,75.207003915,24.792996085,119.005568000,479.996720000,54.496152793,9367851648.191865921,9367852647.049999237,0,0.000000107
0.500000000,1796,8766,10562,0.247929961,8.862916000,9.142916000,9.671927000,9.812000000,0.669084000,6.819037913,0.088000000,0.000000000,24.792996085,75.207003915,24.792996085,119.005568000,479.996720000,52.601841251,9367851648.191865921,9367852647.049999237,0,0.000000107
1.000000000,1796,8766,10562,0.247929961,8.525937000,8.676197000,8.786458000,9.359300000,0.683103000,7.298654814,0.068700000,0.000000000,24.792996085,75.207003915,24.792996085,119.005568000,479.996720000,55.431454127,9367851648.191865921,9367852647.049999237,0,0.000000107
