target_selectivity,cutoff_date,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB,total_data_MB,bandwidth_GB_per_sec,num_groups,validation_cpu_result,validation_gpu_result,abs_error
0.000100000,1992-01-09,0.000122134,1515.765000000,1517.320156000,1518.473645000,1611.430300000,94.110144000,5.840162246,67.850900000,25.200200000,0.012213417,99.987786583,0.012213417,0.080608000,659.995490000,0.653697482,2,136628664.543945312,136628652.400000006,12.143945307
0.001000000,1992-01-25,0.001033940,1519.548541000,1521.249010000,1522.336718000,1614.800300000,93.551290000,5.793365904,67.311400000,24.655300000,0.103394040,99.896605960,0.103394040,0.682396000,659.995490000,0.652009211,2,1170422610.512939453,1170422508.619999886,101.892939568
0.010000000,1992-03-17,0.010041902,1527.412760000,1528.055781000,1529.333020000,1621.806100000,93.750319000,5.780612060,67.329100000,24.945000000,1.004190195,98.995809805,1.004190195,6.627610000,659.995490000,0.649104816,2,11393082430.173156738,11393081438.619998932,991.553157806
0.100000000,1992-10-29,0.100377919,1555.118177000,1557.609791000,1558.411197000,1651.894200000,94.284409000,5.707654219,67.601100000,24.764200000,10.037791925,89.962208075,10.037791925,66.248974000,659.995490000,0.636788733,2,113828313236.023742676,113828303320.510009766,9915.513732910
0.250000000,1993-10-24,0.250237110,1562.744218000,1563.753437000,1564.561666000,1657.493600000,93.740163000,5.655536950,68.569600000,24.418000000,25.023710995,74.976289005,25.023710995,165.155364000,659.995490000,0.634286929,2,283647060878.476074219,283647036157.660034180,24720.816040039
0.500000000,1995-06-17,0.500092784,1563.888072000,1565.123385000,1566.187916000,1659.336900000,94.213515000,5.677780986,67.223100000,24.727700000,50.009278397,49.990721603,50.009278397,330.058982000,659.995490000,0.633731740,3,566903148386.157714844,566903098986.609863281,49399.547851562
0.750000000,1997-02-08,0.750259127,1566.020833000,1566.988333000,1567.960052000,1661.146300000,94.157967000,5.668252519,68.030600000,26.148900000,75.025912677,24.974087323,75.025912677,495.167640000,659.995490000,0.632977505,4,850366903748.955566406,850366829636.819946289,74112.135620117
1.000000000,1998-12-01,1.000000000,1567.860052000,1568.694270000,1569.644947000,1662.982000000,94.287730000,5.669798591,66.969800000,26.103600000,100.000000000,0.000000000,100.000000000,659.995490000,659.995490000,0.632289150,4,1133439457956.434570312,1133439359170.319824219,98786.114746094
