Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Wasted Threads (%),Bandwidth (GB/s),Err (cents),Err/Row (cents)
0.229,2.361,2.986,20.9,0.2,99.8,81.57,216,0.007868
0.543,2.389,3.012,20.7,0.5,99.5,80.62,510,0.007818
0.756,2.33,2.904,19.8,0.8,99.2,82.66,714,0.00786
1.001,2.515,3.178,20.9,1.0,99.0,76.58,959,0.007975
1.238,2.507,3.104,19.2,1.2,98.8,76.82,1197,0.008048
1.516,2.419,3.046,20.6,1.5,98.5,79.61,1438,0.007893
1.764,2.508,3.082,18.6,1.8,98.2,76.79,1647,0.007773
1.975,2.666,3.366,20.8,2.0,98.0,72.25,1880,0.007923
2.288,2.521,3.109,18.9,2.3,97.7,76.41,2143,0.007794
2.52,2.6,3.306,21.4,2.5,97.5,74.08,2179,0.007198
