Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Data Efficiency (%),Bandwidth (GB/s)
0.014,1.898,2.394,20.7,0.0,0.0,50.7
0.113,1.911,2.419,21.0,0.1,0.1,50.3
1.006,1.973,2.478,20.4,1.0,1.0,48.8
5.014,2.15,2.646,18.8,5.0,5.0,44.7
10.005,2.306,2.814,18.0,10.0,10.0,41.7
24.821,2.485,2.956,15.9,24.8,24.8,38.7
