Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Data Efficiency (%),Bandwidth (GB/s)
0.014,1.894,2.41,21.4,0.0,0.0,50.8
0.113,1.802,2.386,24.5,0.1,0.1,53.4
1.006,1.971,2.467,20.1,1.0,1.0,48.8
5.014,1.988,2.562,22.4,5.0,5.0,48.4
10.005,2.303,2.835,18.8,10.0,10.0,41.8
24.821,2.28,2.873,20.6,24.8,24.8,42.2
24.821,2.39,2.946,18.9,24.8,24.8,40.3
24.821,2.245,2.936,23.5,24.8,24.8,42.8
