target_selectivity,cutoff_date,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB,total_data_MB,bandwidth_GB_per_sec,num_groups,validation_cpu_result,validation_gpu_result,abs_error
0.000100000,1992-01-09,0.000123095,2746.551770000,2747.424947000,2748.409479000,2925.685400000,178.260453000,6.092946733,130.368900000,45.814900000,0.012309528,99.987690472,0.012309528,0.162448000,1319.693144000,0.721872133,2,277278658.853637695,277278634.699999988,24.153637707
0.001000000,1992-01-25,0.001032807,2749.101718000,2749.515364000,2750.231197000,2926.284200000,176.768836000,6.040726871,132.422500000,45.616700000,0.103280676,99.896719324,0.103280676,1.362988000,1319.693144000,0.721323304,2,2341516991.331542969,2341516787.430000305,203.901542664
0.010000000,1992-03-17,0.010056955,2768.255625000,2769.130781000,2770.200260000,2953.669200000,184.538419000,6.247768674,137.538300000,46.928400000,1.005695457,98.994304543,1.005695457,13.272094000,1319.693144000,0.716213738,2,22813308034.161804199,22813306047.909999847,1986.251804352
0.100000000,1992-10-28,0.100038906,2821.199895000,2821.613489000,2822.118593000,3006.574700000,184.961211000,6.151891420,138.517600000,45.567200000,10.003890571,89.996109429,10.003890571,132.020658000,1319.693144000,0.702891986,2,226752955086.614562988,226752935332.309997559,19754.304565430
0.250000000,1993-10-24,0.250222535,2835.954635000,2836.520052000,2836.789062000,3012.679300000,176.159248000,5.847261871,126.805000000,46.246500000,25.022253507,74.977746493,25.022253507,330.216964000,1319.693144000,0.699198127,2,567020183078.178344727,567020133641.330078125,49436.848266602
0.500000000,1995-06-17,0.500087220,2838.064062000,2838.289635000,2838.621145000,3014.009500000,175.719865000,5.830103223,129.083900000,46.508400000,50.008722028,49.991277972,50.008722028,659.961676000,1319.693144000,0.698762199,3,1133501928693.203125000,1133501829889.489990234,98803.713134766
0.750000000,1997-02-08,0.750287033,2840.702604000,2841.017604000,2841.308854000,3016.960800000,175.943196000,5.831802521,128.301600000,46.466200000,75.028703339,24.971296661,75.028703339,990.148654000,1319.693144000,0.698091242,4,1700401878191.525390625,1700401729942.719970703,148248.805419922
1.000000000,1998-12-01,1.000000000,2840.815000000,2841.379114000,2841.798906000,3018.307900000,176.928786000,5.861853458,128.829800000,46.375000000,100.000000000,0.000000000,100.000000000,1319.693144000,1319.693144000,0.698002424,4,2266298676055.032226562,2266298478482.350097656,197572.682128906
