Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Data Efficiency (%),Bandwidth (GB/s),Active Groups
0.012,277.741,301.09,7.8,0.0,0.0,0.714,2
0.102,279.516,298.712,6.4,0.1,0.1,0.71,2
1.003,283.157,302.242,6.3,1.0,1.0,0.701,2
10.006,283.918,308.173,7.9,10.0,10.0,0.699,2
25.001,285.686,304.445,6.2,25.0,25.0,0.695,2
50.01,287.095,308.052,6.8,50.0,50.0,0.691,4
75.036,288.279,307.27,6.2,75.0,75.0,0.688,4
100.0,288.582,307.127,6.0,100.0,100.0,0.688,4
