target_selectivity,cutoff_date,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB,total_data_MB,bandwidth_GB_per_sec,num_groups,validation_cpu_result,validation_gpu_result,abs_error
0.000100000,1992-01-09,0.000117310,303.501145000,304.057968000,304.588854000,323.813600000,19.755632000,6.100927200,13.885300000,4.615400000,0.011730958,99.988269042,0.011730958,0.015488000,132.026730000,0.652557087,2,25755473.632812500,25755471.149999999,2.482812501
0.001000000,1992-01-25,0.001019960,303.266302000,303.795208000,304.468697000,323.554700000,19.759492000,6.107002000,14.079400000,4.759600000,0.101996012,99.898003988,0.101996012,0.134662000,132.026730000,0.653121500,2,231276250.839843750,231276230.899999976,19.939843774
0.010000000,1992-03-17,0.010027469,304.441354000,305.528125000,306.371562000,325.499100000,19.970975000,6.135493155,13.863600000,4.765300000,1.002746944,98.997253056,1.002746944,1.323894000,132.026730000,0.649417077,2,2269895328.197692871,2269895128.519999981,199.677692890
0.100000000,1992-10-29,0.100058405,310.690989000,311.739531000,312.397343000,331.771200000,20.031669000,6.037796228,13.920900000,4.654900000,10.005840484,89.994159516,10.005840484,13.210384000,132.026730000,0.636477451,2,22697662829.035339355,22697660854.389999390,1974.645339966
0.250000000,1993-10-26,0.250012372,312.631510000,313.299687000,313.759479000,333.009800000,19.710113000,5.918778667,13.778100000,4.676900000,25.001237249,74.998762751,25.001237249,33.008316000,132.026730000,0.633307948,2,56729496746.347656250,56729491811.259994507,4935.087661743
0.500000000,1995-06-19,0.500102229,312.330416000,313.037187000,313.545156000,332.771500000,19.734313000,5.930289403,13.898300000,4.772000000,50.010222930,49.989777070,50.010222930,66.026862000,132.026730000,0.633839014,4,113452682586.944458008,113452672707.759994507,9879.184463501
0.750000000,1997-02-09,0.750360385,312.638020000,313.167447000,313.382447000,332.779400000,19.611953000,5.893379518,13.955500000,4.835700000,75.036038536,24.963961464,75.036038536,99.067628000,132.026730000,0.633575373,4,170236872915.126708984,170236858093.029998779,14822.096710205
1.000000000,1998-12-01,1.000000000,312.599427000,313.179479000,313.559010000,332.822100000,19.642621000,5.901837949,13.742600000,4.604100000,100.000000000,0.000000000,100.000000000,132.026730000,132.026730000,0.633551032,4,226829355037.445739746,226829335284.270019531,19753.175720215
