target_selectivity,cutoff_date,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB,total_data_MB,bandwidth_GB_per_sec,num_groups,validation_cpu_result,validation_gpu_result,abs_error
0.000100000,1992-01-09,0.000117310,277.121093000,277.740833000,286.359427000,301.089500000,23.348667000,7.754726419,18.668500000,4.612400000,0.011730958,99.988269042,0.011730958,0.015488000,132.026730000,0.714389670,2,25755473.632812500,25755471.149999999,2.482812501
0.001000000,1992-01-25,0.001019960,278.131770000,279.515520000,280.539479000,298.711800000,19.196280000,6.426354767,12.865700000,4.546100000,0.101996012,99.898003988,0.101996012,0.134662000,132.026730000,0.709853900,2,231276250.839843750,231276230.899999976,19.939843774
0.010000000,1992-03-17,0.010027469,281.771927000,283.157343000,284.212552000,302.241500000,19.084157000,6.314208009,13.297500000,4.610500000,1.002746944,98.997253056,1.002746944,1.323894000,132.026730000,0.700724127,2,2269895328.197692871,2269895128.519999981,199.677692890
0.100000000,1992-10-29,0.100058405,281.383333000,283.918125000,288.126510000,308.173200000,24.255075000,7.870598417,17.096700000,6.860200000,10.005840484,89.994159516,10.005840484,13.210384000,132.026730000,0.698846479,2,22697662829.035339355,22697660854.389999390,1974.645339966
0.250000000,1993-10-26,0.250012372,285.455208000,285.686458000,286.065364000,304.445300000,18.758842000,6.161646115,12.851100000,4.830400000,25.001237249,74.998762751,25.001237249,33.008316000,132.026730000,0.694520781,2,56729496746.347656250,56729491811.259994507,4935.087661743
0.500000000,1995-06-19,0.500102229,286.298125000,287.095000000,291.189010000,308.051700000,20.956700000,6.802981448,12.552300000,4.992600000,50.010222930,49.989777070,50.010222930,66.026862000,132.026730000,0.691113332,4,113452682586.944458008,113452672707.759994507,9879.184463501
0.750000000,1997-02-09,0.750360385,286.939218000,288.278593000,289.516770000,307.270200000,18.991607000,6.180751339,14.070600000,4.799400000,75.036038536,24.963961464,75.036038536,99.067628000,132.026730000,0.688275810,4,170236872915.126708984,170236858093.029998779,14822.096710205
1.000000000,1998-12-01,1.000000000,286.410208000,288.582083000,290.551666000,307.127300000,18.545217000,6.038283474,12.926200000,4.616000000,100.000000000,0.000000000,100.000000000,132.026730000,132.026730000,0.687551978,4,226829355037.445739746,226829335284.270019531,19753.175720215
